sale_date,product_id,product_name,slot_number,price,capacity,daily_qty
2026-03-07,1.0,Alcohol,1.0,25.0,10.0,4.0
2026-03-08,1.0,Alcohol,1.0,25.0,10.0,1.0
2026-03-09,1.0,Alcohol,1.0,25.0,10.0,4.0
2026-03-13,1.0,Alcohol,1.0,25.0,10.0,6.0
2026-03-29,1.0,Alcohol,1.0,25.0,10.0,7.0
2026-03-30,1.0,Alcohol,1.0,25.0,10.0,11.0
2026-04-18,1.0,Alcohol,1.0,25.0,10.0,1.0
2026-04-23,1.0,Alcohol,1.0,25.0,10.0,8.0
2026-04-24,1.0,Alcohol,1.0,25.0,10.0,2.0
2026-03-07,2.0,Soap,2.0,5.0,10.0,7.0
2026-03-08,2.0,Soap,2.0,5.0,10.0,1.0
2026-03-09,2.0,Soap,2.0,5.0,10.0,3.0
2026-03-13,2.0,Soap,2.0,5.0,10.0,13.0
2026-03-29,2.0,Soap,2.0,5.0,10.0,6.0
2026-03-30,2.0,Soap,2.0,5.0,10.0,12.0
2026-04-18,2.0,Soap,2.0,5.0,10.0,1.0
2026-04-24,2.0,Soap,2.0,5.0,10.0,4.0
2026-04-25,2.0,Soap,2.0,5.0,10.0,5.0
2026-04-28,2.0,Soap,2.0,5.0,10.0,4.0
2026-03-13,3.0,Deodorant,3.0,10.0,10.0,5.0
2026-03-24,3.0,Deodorant,3.0,10.0,10.0,7.0
2026-03-29,3.0,Deodorant,3.0,10.0,10.0,1.0
2026-03-30,3.0,Deodorant,3.0,10.0,10.0,1.0
2026-04-20,3.0,Deodorant,3.0,10.0,10.0,1.0
2026-04-24,3.0,Deodorant,3.0,10.0,10.0,2.0
2026-04-25,3.0,Deodorant,3.0,10.0,10.0,1.0
2026-03-07,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-03-13,4.0,Mouthwash,4.0,8.0,10.0,4.0
2026-03-29,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-03-30,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-04-18,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-04-20,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-04-24,4.0,Mouthwash,4.0,8.0,10.0,1.0
2026-03-13,5.0,Tissues,5.0,8.0,10.0,2.0
2026-03-30,5.0,Tissues,5.0,8.0,10.0,1.0
2026-04-18,5.0,Tissues,5.0,8.0,10.0,1.0
2026-04-24,5.0,Tissues,5.0,8.0,10.0,4.0
2026-03-13,6.0,Wet Wipes,6.0,18.0,10.0,3.0
2026-03-19,6.0,Wet Wipes,6.0,18.0,10.0,2.0
2026-04-18,6.0,Wet Wipes,6.0,18.0,10.0,1.0
2026-04-24,6.0,Wet Wipes,6.0,18.0,10.0,4.0
2026-04-28,6.0,Wet Wipes,6.0,18.0,10.0,1.0
2026-04-24,7.0,Panty Liners,7.0,5.0,10.0,2.0
2026-03-08,8.0,All Night Pads,8.0,10.0,10.0,1.0
2026-03-13,8.0,All Night Pads,8.0,10.0,10.0,3.0
2026-03-30,8.0,All Night Pads,8.0,10.0,10.0,1.0
2026-04-24,8.0,All Night Pads,8.0,10.0,10.0,2.0
2026-04-28,8.0,All Night Pads,8.0,10.0,10.0,2.0
2026-03-13,9.0,Regular W/ Wings Pads,9.0,7.0,10.0,3.0
2026-03-24,9.0,Regular W/ Wings Pads,9.0,7.0,10.0,1.0
2026-03-29,9.0,Regular W/ Wings Pads,9.0,7.0,10.0,1.0
2026-04-24,9.0,Regular W/ Wings Pads,9.0,7.0,10.0,2.0
2026-04-28,9.0,Regular W/ Wings Pads,9.0,7.0,10.0,2.0
2026-03-08,10.0,Non-Wing Pads,10.0,7.0,10.0,1.0
2026-03-13,10.0,Non-Wing Pads,10.0,7.0,10.0,4.0
2026-04-24,10.0,Non-Wing Pads,10.0,7.0,10.0,2.0
2026-04-28,10.0,Non-Wing Pads,10.0,7.0,10.0,4.0
